event_date	event_type	event_id	feeder_id	feeder_name	location	region	alarm_time	log_server_time
01-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	01-06-2024 04:45	01-06-2024 04:47
01-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	01-06-2024 05:10	01-06-2024 05:12
01-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	01-06-2024 12:00	01-06-2024 12:02
01-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	01-06-2024 12:25	01-06-2024 12:27
02-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	02-06-2024 06:15	02-06-2024 06:17
02-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	02-06-2024 06:40	02-06-2024 06:42
02-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	02-06-2024 13:30	02-06-2024 13:32
02-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	02-06-2024 13:55	02-06-2024 13:57
03-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	03-06-2024 08:30	03-06-2024 08:32
03-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	03-06-2024 08:55	03-06-2024 08:57
03-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	03-06-2024 17:20	03-06-2024 17:22
03-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	03-06-2024 17:45	03-06-2024 17:47
04-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	04-06-2024 10:20	04-06-2024 10:22
04-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	04-06-2024 10:45	04-06-2024 10:47
04-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	04-06-2024 18:15	04-06-2024 18:17
04-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	04-06-2024 18:40	04-06-2024 18:42
05-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	05-06-2024 12:00	05-06-2024 12:02
05-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	05-06-2024 12:25	05-06-2024 12:27
05-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	05-06-2024 20:30	05-06-2024 20:32
05-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	05-06-2024 20:55	05-06-2024 20:57
06-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	06-06-2024 14:15	06-06-2024 14:17
06-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	06-06-2024 14:40	06-06-2024 14:42
06-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	06-06-2024 22:10	06-06-2024 22:12
06-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	06-06-2024 22:35	06-06-2024 22:37
07-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	07-06-2024 16:30	07-06-2024 16:32
07-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	07-06-2024 16:55	07-06-2024 16:57
07-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	07-06-2024 21:25	07-06-2024 21:27
07-06-2024	METER_FIRST_BREATH	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	07-06-2024 21:45	07-06-2024 21:47
08-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 08:00	08-06-2024 08:02
08-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 08:25	08-06-2024 08:27
08-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 13:45	08-06-2024 13:47
08-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 14:10	08-06-2024 14:12
08-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 19:30	08-06-2024 19:32
08-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	08-06-2024 19:55	08-06-2024 19:57
09-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 09:15	09-06-2024 09:17
09-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 09:40	09-06-2024 09:42
09-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 16:00	09-06-2024 16:02
09-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 16:25	09-06-2024 16:27
09-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 21:45	09-06-2024 21:47
09-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	09-06-2024 22:10	09-06-2024 22:12
10-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	10-06-2024 11:30	10-06-2024 11:32
10-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	10-06-2024 11:55	10-06-2024 11:57
10-06-2024	METER_LAST_GASP	400001	FD54321	Ulubari Feeder	Ulubari	Guwahati -3	10-06-2024 19:00	10-06-2024 19:02
10-06-2024	METER_FIRST_BREATH	400001	FD54322	Ulubari Feeder	Ulubari	Guwahati -3	10-06-2024 19:25	10-06-2024 1
