event_date	event_type	event_id	feeder_id	feeder_name	location	region	alarm_time	log_server_time
01-06-2024	METER_LAST_GASP	2000000	FD54321	Beltola Feeder	Beltola	Guwahati -3	01-06-2024 04:45	01-06-2024 04:47
01-06-2024	METER_FIRST_BREATH	2000000	FD54322	Beltola Feeder	Beltola	Guwahati -3	01-06-2024 05:10	01-06-2024 05:12
01-06-2024	METER_LAST_GASP	2000001	FD54321	Beltola Feeder	Beltola	Guwahati -3	01-06-2024 12:00	01-06-2024 12:02
01-06-2024	METER_FIRST_BREATH	2000001	FD54322	Beltola Feeder	Beltola	Guwahati -3	01-06-2024 12:25	01-06-2024 12:27
02-06-2024	METER_LAST_GASP	2000002	FD54321	Beltola Feeder	Beltola	Guwahati -3	02-06-2024 06:15	02-06-2024 06:17
02-06-2024	METER_FIRST_BREATH	2000002	FD54322	Beltola Feeder	Beltola	Guwahati -3	02-06-2024 06:40	02-06-2024 06:42
02-06-2024	METER_LAST_GASP	2000003	FD54321	Beltola Feeder	Beltola	Guwahati -3	02-06-2024 13:30	02-06-2024 13:32
02-06-2024	METER_FIRST_BREATH	2000003	FD54322	Beltola Feeder	Beltola	Guwahati -3	02-06-2024 13:55	02-06-2024 13:57
03-06-2024	METER_LAST_GASP	2000004	FD54321	Beltola Feeder	Beltola	Guwahati -3	03-06-2024 08:30	03-06-2024 08:32
03-06-2024	METER_FIRST_BREATH	2000004	FD54322	Beltola Feeder	Beltola	Guwahati -3	03-06-2024 08:55	03-06-2024 08:57
03-06-2024	METER_LAST_GASP	2000005	FD54321	Beltola Feeder	Beltola	Guwahati -3	03-06-2024 17:20	03-06-2024 17:22
03-06-2024	METER_FIRST_BREATH	2000005	FD54322	Beltola Feeder	Beltola	Guwahati -3	03-06-2024 17:45	03-06-2024 17:47
04-06-2024	METER_LAST_GASP	2000006	FD54321	Beltola Feeder	Beltola	Guwahati -3	04-06-2024 10:20	04-06-2024 10:22
04-06-2024	METER_FIRST_BREATH	2000006	FD54322	Beltola Feeder	Beltola	Guwahati -3	04-06-2024 10:45	04-06-2024 10:47
04-06-2024	METER_LAST_GASP	2000007	FD54321	Beltola Feeder	Beltola	Guwahati -3	04-06-2024 18:15	04-06-2024 18:17
04-06-2024	METER_FIRST_BREATH	2000007	FD54322	Beltola Feeder	Beltola	Guwahati -3	04-06-2024 18:40	04-06-2024 18:42
05-06-2024	METER_LAST_GASP	2000008	FD54321	Beltola Feeder	Beltola	Guwahati -3	05-06-2024 12:00	05-06-2024 12:02
05-06-2024	METER_FIRST_BREATH	2000008	FD54322	Beltola Feeder	Beltola	Guwahati -3	05-06-2024 12:25	05-06-2024 12:27
05-06-2024	METER_LAST_GASP	2000009	FD54321	Beltola Feeder	Beltola	Guwahati -3	05-06-2024 20:30	05-06-2024 20:32
05-06-2024	METER_FIRST_BREATH	2000009	FD54322	Beltola Feeder	Beltola	Guwahati -3	05-06-2024 20:55	05-06-2024 20:57
06-06-2024	METER_LAST_GASP	2000010	FD54321	Beltola Feeder	Beltola	Guwahati -3	06-06-2024 14:15	06-06-2024 14:17
06-06-2024	METER_FIRST_BREATH	2000010	FD54322	Beltola Feeder	Beltola	Guwahati -3	06-06-2024 14:40	06-06-2024 14:42
06-06-2024	METER_LAST_GASP	2000011	FD54321	Beltola Feeder	Beltola	Guwahati -3	06-06-2024 22:10	06-06-2024 22:12
06-06-2024	METER_FIRST_BREATH	2000011	FD54322	Beltola Feeder	Beltola	Guwahati -3	06-06-2024 22:35	06-06-2024 22:37
07-06-2024	METER_LAST_GASP	2000012	FD54321	Beltola Feeder	Beltola	Guwahati -3	07-06-2024 16:30	07-06-2024 16:32
07-06-2024	METER_FIRST_BREATH	2000012	FD54322	Beltola Feeder	Beltola	Guwahati -3	07-06-2024 16:55	07-06-2024 16:57
07-06-2024	METER_LAST_GASP	2000013	FD54321	Beltola Feeder	Beltola	Guwahati -3	07-06-2024 21:00	07-06-2024 21:02
07-06-2024	METER_FIRST_BREATH	2000013	FD54322	Beltola Feeder	Beltola	Guwahati -3	07-06-2024 21:25	07-06-2024 21:27
08-06-2024	METER_LAST_GASP	2000014	FD54321	Beltola Feeder	Beltola	Guwahati -3	08-06-2024 18:10	08-06-2024 18:12
08-06-2024	METER_FIRST_BREATH	2000014	FD54322	Beltola Feeder	Beltola	Guwahati -3	08-06-2024 18:35	08-06-2024 18:37
08-06-2024	METER_LAST_GASP	2000015	FD54321	Beltola Feeder	Beltola	Guwahati -3	08-06-2024 23:00	08-06-2024 23:02
08-06-2024	METER_FIRST_BREATH	2000015	FD54322	Beltola Feeder	Beltola	Guwahati -3	08-06-2024 23:25	08-06-2024 23:27
09-06-2024	METER_LAST_GASP	2000016	FD54321	Beltola Feeder	Beltola	Guwahati -3	09-06-2024 20:20	09-06-2024 20:22
09-06-2024	METER_FIRST_BREATH	2000016	FD54322	Beltola Feeder	Beltola	Guwahati -3	09-06-2024 20:45	09-06-2024 20:47
09-06-2024	METER_LAST_GASP	2000017	FD54321	Beltola Feeder	Beltola	Guwahati -3	09-06-2024 22:30	09-06-2024 22:32
09-06-2024	METER_FIRST_BREATH	2000017	FD54322	Beltola Feeder	Beltola	Guwahati -3	09-06-2024 22:55	09-06-2024 22:57
10-06-2024	METER_LAST_GASP	2000018	FD54321	Beltola Feeder	Beltola	Guwahati -3	10-06-2024 22:30	10-06-2024 22:32
10-06-2024	METER_FIRST_BREATH	2000018	FD54322	Beltola Feeder	Beltola	Guwahati -3	10-06-2024 22:55	10-06-2024 22:57
10-06-2024	METER_LAST_GASP	2000019	FD54321	Beltola Feeder	Beltola	Guwahati -3	10-06-2024 23:30	10-06-2024 23:32
10-06-2024	METER_FIRST_BREATH	2000019	FD54322	Beltola Feeder	Beltola	Guwahati -3	10-06-2024 23:55	10-06-2024 23:57
