Date	Alarm Type	Meter Number	Feeder Code	Feeder Name	Substation	Subdivision	Alarm Time	Log Time in the Server
01-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	01-06-2024 05:45	01-06-2024 05:47
01-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	01-06-2024 06:05	01-06-2024 06:07
01-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	01-06-2024 11:30	01-06-2024 11:32
01-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	01-06-2024 11:50	01-06-2024 11:52
01-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	01-06-2024 17:15	01-06-2024 17:17
01-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	01-06-2024 17:35	01-06-2024 17:37
02-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	02-06-2024 06:30	02-06-2024 06:32
02-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	02-06-2024 06:50	02-06-2024 06:52
02-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	02-06-2024 14:10	02-06-2024 14:12
02-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	02-06-2024 14:30	02-06-2024 14:32
02-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	02-06-2024 20:45	02-06-2024 20:47
02-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	02-06-2024 21:05	02-06-2024 21:07
03-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	03-06-2024 08:15	03-06-2024 08:17
03-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	03-06-2024 08:35	03-06-2024 08:37
03-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	03-06-2024 14:25	03-06-2024 14:27
03-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	03-06-2024 14:45	03-06-2024 14:47
03-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	03-06-2024 19:10	03-06-2024 19:12
03-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	03-06-2024 19:30	03-06-2024 19:32
04-06-2024	METER_LAST_GASP	1000000	FD12346	Paltan Bazar Feeder	Paltan Bazar	Guwahati -2	04-06-2024 07:05	04-06-2024 07:07
04-06-2024	METER_FIRST_BREATH	1000000	FD12345	Paltan Bazar Feeder	Paltan Bazar	Guwahati -1	04-06-2024 07:25	04-06-2024 07:27
