vent_date	event_type	event_id	feeder_id	feeder_name	location	region	alarm_time	log_server_time
01-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	01-06-2024 05:45	01-06-2024 05:47
01-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	01-06-2024 06:10	01-06-2024 06:12
01-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	01-06-2024 14:00	01-06-2024 14:02
01-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	01-06-2024 14:25	01-06-2024 14:27
02-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	02-06-2024 07:15	02-06-2024 07:17
02-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	02-06-2024 07:40	02-06-2024 07:42
02-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	02-06-2024 15:30	02-06-2024 15:32
02-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	02-06-2024 15:55	02-06-2024 15:57
03-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	03-06-2024 09:30	03-06-2024 09:32
03-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	03-06-2024 09:55	03-06-2024 09:57
03-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	03-06-2024 18:20	03-06-2024 18:22
03-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	03-06-2024 18:45	03-06-2024 18:47
04-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	04-06-2024 11:20	04-06-2024 11:22
04-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	04-06-2024 11:45	04-06-2024 11:47
04-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	04-06-2024 19:15	04-06-2024 19:17
04-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	04-06-2024 19:40	04-06-2024 19:42
05-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	05-06-2024 13:00	05-06-2024 13:02
05-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	05-06-2024 13:25	05-06-2024 13:27
05-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	05-06-2024 21:30	05-06-2024 21:32
05-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	05-06-2024 21:55	05-06-2024 21:57
06-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	06-06-2024 15:15	06-06-2024 15:17
06-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	06-06-2024 15:40	06-06-2024 15:42
06-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	06-06-2024 23:10	06-06-2024 23:12
06-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	06-06-2024 23:35	06-06-2024 23:37
07-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	07-06-2024 17:30	07-06-2024 17:32
07-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	07-06-2024 17:55	07-06-2024 17:57
07-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	07-06-2024 22:25	07-06-2024 22:27
07-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	07-06-2024 22:45	07-06-2024 22:47
08-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	08-06-2024 08:25	08-06-2024 08:27
08-06-2024	METER_FIRST_BREATH	700001	FD76542	Maligaon Feeder	Maligaon	Guwahati -4	08-06-2024 08:50	08-06-2024 08:52
08-06-2024	METER_LAST_GASP	700001	FD76541	Maligaon Feeder	Maligaon	Guwahati -4	08-06-2024 16:30	08-06-2024 16:32
